GUID,Title,Abstract,status,"file url","Download count",URL,"Preprint DOI","Publisher DOI","Date created","Date modified"
k26rp,"Low Speed Wind Tunnel Flow Diagnostics and Benchmark Cases for Thermal Fluids CFD Validation Efforts","A low speed, closed loop wind tunnel at Texas A&amp;M University is presented for the study of turbulent mixing produced by a variety of flows types. Anticipated experiments range from canonical “unit flows” to more complex combinations of flows and geometries. Originally located at the University of Pittsburgh, the facility has since been re-located to the Thermal Hydraulics Verification and Validation (THVV) laboratory at Texas A&amp;M University. The tunnel has undergone considerable modification and updated diagnostics prompting renewed interest in flow quality assessment. This includes a thorough mapping of the tunnel inlet velocity profile provided by Particle Image Velocimetry (PIV) measurements. Additional temperature and gage pressure measurements complete the assessment of system capabilities. These preliminary diagnostics yield empirically determined boundary conditions and fluid property correlations necessary for Computational Fluid Dynamics (CFD) model validation. The article concludes with the presentation of two unit flow types, including flow past a cylinder, with three distinct cross sections, and a single round jet in cross flow at three velocity ratios. The unit flows serve as initial benchmarks for THVV simulation efforts. Key validation metrics are presented for each benchmark including ensemble averaged velocities, Reynolds stresses, and proper orthogonal decomposition (POD) eigenvectors.",1,https://api.osf.io/v2/files/5f281d3db084f601bbc9abc9/,26,https://engrxiv.org/k26rp/,10.31224/osf.io/k26rp,,2020-08-03T18:46:48.943284,2020-08-03T18:47:21.432405
683ds,"The Role of IoT and Cloud Computing in Health Monitoring Systems","Cloud computing emerges as the key platform for IoT data storage, processing and analytics due to its simplicity, scalability and affordability (i.e. no up-front investment, low operation costs). Remote patient monitoring in particular can benefit from for this technology in many ways: (a) the new solution is acceptable by many user categories and provides invaluable assistance to chronic patients and the elderly, (b) it is expected to increase users autonomy and confidence and enable self-managing of their condition with the help of caregivers remotely, (c) it reduces the need for face-to-face appointments with doctors and days in hospital. This work reviews key challenges for reliable and secure remote health monitoring based on experience and lessons learned from applying the above technology to the problem of real-time data collection using both wide-range and short-rage wireless protocols and health sensors.",1,https://api.osf.io/v2/files/5f270c0fb084f6017cca1231/,22,https://engrxiv.org/683ds/,10.31224/osf.io/683ds,,2020-08-03T18:49:54.667075,2020-08-03T18:50:26.277807
nqta8,"Optimization of a Water Rocket in OpenMDAO/dymos","This work presents a model of a soda-bottle water rocket developed with NASA's
OpenMDAO Dymos optimal control multidisciplinary framework. This is an acces-
sible example that is able to highlight many of the benfitts and challenges of multi-
disciplinary optimization and of collocation methods. Optimization results for flight
range and height at apogee with respect to empty mass, initial water volume and
launch angle are presented.",1,https://api.osf.io/v2/files/5f2631239c9094014e488f93/,17,https://engrxiv.org/nqta8/,10.31224/osf.io/nqta8,,2020-08-02T12:13:16.183164,2020-08-02T14:53:57.970651
g4z72,"A numerical investigation of the initiation of aortic dissection","In the first part of this study we develop a realistic subject-specific aorta finite element model derived from a dual-venc MRI scan. We investigate if spontaneous dissection will occur under extreme hypertensive lumen blood pressure loading, or if significant reduction in interface strength must occur in order for dissection to initiate. Importantly, we also demonstrate that dissection initiation is a pure mode II fracture process, rather than a mixed mode or mode I process. In the second part of this study we construct a parameterised idealised aorta model in order to assess the relative contribution for several anatomical and physiological factors to dissection risk. Such parametric analyses provide fundamental insight into the mechanics of stress localisation and delamination in the aorta. Overall, our detailed series of simulations suggest that variations in anatomical features and hypertensive loading will not result in a sufficient elevation of the stress state in the aorta wall to initiate dissection. Our results suggest that initiation of aortic dissection requires a significant reduction in the mode II fracture strength of the aortic wall, suggesting that dissection is preceded by structural and biomechanical remodelling.",1,https://api.osf.io/v2/files/5f247a815f705a011361a3f3/,27,https://engrxiv.org/g4z72/,10.31224/osf.io/g4z72,,2020-07-31T21:24:42.777699,2020-07-31T21:25:04.291178
jr3tx,"Analysis of cylindrically and spherically embossed flux barriers in non-oriented electrical steel","In reluctance and permanent magnet synchronous machines, flux barriers are crucial for magnetic flux guidance. Designed as cutouts, flux barriers reduce the mechanical strength of the rotor construction. To operate these electric drives at higher rotational speed, an alternative flux barrier design is required. Since residual stress influences the magnetic properties of soft magnetic materials, this paper deals with embossing induced residual stress as flux barriers in non-oriented electrical steel with 2.4 wt% silicon and a sheet thickness of 0.35 mm. The investigated flux barriers were fabricated with a cylindrical or spherical punch at two different penetration depths and were compared to a flux barrier fabricated as cutout. A residual stress analysis using Finite Element Analysis helps understanding the mechanism of embossed flux barriers. Additionally, the influence of induced residual stress on the magnetic material behavior is measured using standardized single sheet tests and neutron grating interferometry measurements. This investigation aimed at a better understanding of the flux barrier design by local induction of residual stress.",1,https://api.osf.io/v2/files/5f2273e55f705a0025622e47/,23,https://engrxiv.org/jr3tx/,10.31224/osf.io/jr3tx,,2020-07-30T18:34:47.409474,2020-08-03T09:03:57.608009
4snpv,"The importance of curve severity, type and instrumentation strategy in the  surgical correction of adolescent idiopathic scoliosis: an in silico clinical trial on 64 cases","Adolescent idiopathic scoliosis is a three-dimensional deformity of the spine which is frequently corrected with the implantation of instrumentation with generally good or excellent clinical results; mechanical post-operative complications such as implant loosening and breakage are however relatively frequent. The rate of complications is associated with a lack of consensus about the surgical decision-making process; choices about the instrumentation length, the anchoring implants and the degree of correction are indeed mostly based on personal views and previous experience of the surgeon. In this work, we performed an in silico clinical trial on a large number of subjects in order to clarify which factors have the highest importance in determining the risk of post-operative complications by quantitatively analysing the mechanical stresses and loads in the instrumentation after the correction maneuvers. The results of the simulations highlighted the fundamental role of the curve severity, also in its three-dimensional aspect, and of the instrumentation strategy, whereas the length of the fixation had a lower importance.",1,https://api.osf.io/v2/files/5f20113661875e017631b90d/,24,https://engrxiv.org/4snpv/,10.31224/osf.io/4snpv,,2020-07-28T14:24:26.123658,2020-07-28T14:26:16.245049
9fdyp,"A Comprehensive Survey of COVID-19 Detection Using Medical Images","The outbreak of the COVID-19 pandemic caused the death of a large number of people. Millions of
people are infected by this virus and are still getting infected day by day. As the cost and required time of
conventional RT-PCR tests to detect COVID-19, researchers are trying to use medical images like X-Ray and
Computed Tomography (CT) images to detect it with the help of Artificial Intelligence (AI) based systems. In
this paper, we reviewed some of these newly emerging AI-based models that can detect COVID-19 from
medical images using X-Ray or CT of lung images. We collected information about available research resources
and inspected a total of 80 papers from the time period of February 21, 2020 to June 20, 2020. We explored and
analyzed datasets, preprocessing techniques, segmentation, feature extraction, classification and experimental
results which can be helpful for finding future research directions in the domain of automatic diagnosis of
Covid-19 disease using Artificial Intelligence (AI) based frameworks.",1,https://api.osf.io/v2/files/5f1fce6361875e017231d9f6/,149,https://engrxiv.org/9fdyp/,10.31224/osf.io/9fdyp,,2020-07-28T14:22:46.508142,2020-07-28T14:23:21.879165
t28ue,"How Prediction Accuracy can Affect the Decision-Making Process in Pavement Management System","One of the most important components of pavement management systems is predicting the deterioration of the network through performance models. The accuracy of the prediction model is important for prioritizing maintenance action. This paper describes how the accuracy of prediction models can have an effect on the decision-making process in terms of the cost of maintenance and rehabilitation activities. The process is simulating the propagation of the error between the actual and predicted values of pavement performance indicators. Different rate of error was added into the result of prediction models. The results showed a strong correlation between the prediction models’ accuracy and the cost of maintenance and rehabilitation activities. Also, increasing the rate of error contribution to the prediction model resulting in a higher benefit reduction rate.",1,https://api.osf.io/v2/files/5f1f6d7a61875e016131620b/,9,https://engrxiv.org/t28ue/,10.31224/osf.io/t28ue,,2020-07-28T02:50:08.288407,2020-08-03T17:55:46.423295
edhvy,"Use of Deep Learning to Study Modelling Deterioration of Pavements a Case Study in Iowa","This paper describes the process and outcome of deterioration modeling for three different pavement types in the state of Iowa. Pavement condition data is collected by the Iowa Department of Transportation (DOT) and stored in a Pavement-Management Information System (PMIS). Typically, the overall pavement condition is quantified using the Pavement Condition Index (PCI), which is a weighted average of indices representing different types of distress, roughness, and deflection. Deterioration models of PCI as a function of time were developed for the different pavement types using two modeling approaches. The first approach is the Long/Short Term Memory (LSTM), a subset of a recurrent neural network. The second approach, used by the Iowa DOT, is developing individual regression models for each section of the different pavement types. A comparison is made between the two approaches to assess the accuracy of each model. The results show that while the individual regression models achieved higher prediction accuracy with respect to asphalt pavements, the LSTM model achieved a higher prediction accuracy over time for concrete and composite pavement types.",1,https://api.osf.io/v2/files/5f1f639f5fdf620173046fe5/,12,https://engrxiv.org/edhvy/,10.31224/osf.io/edhvy,,2020-07-28T02:49:44.384328,2020-07-28T02:50:01.845613
tn6jf,"A maskless exposure device for rapid photolithographic prototyping of sensor and microstructure layouts","A very cost effective maskless exposure device (MED) for the fast lithographic prototyping of various layouts is presented. The device is assembled using a digital light processing projector (DLP), an optical microscope, alignment stages and a web camera. Layouts created on a computer screen can be easily transferred to substrate surfaces without using expensive photomasks and the process can be repeated by introducing new drawings on the screen. Components are tuned for a constant area of exposure and a resolution of around 20 μm is possible at the moment without using any reduction lenses. The MED has been used in patterning the surfaces of silicon, glass, metal etc. successfully. The device can be assembled using commercially available components at a very minimum cost and can be effectively used in fast prototyping applications like in MEMS, microfluidics, patterning of sensor and electrode structures.",1,https://api.osf.io/v2/files/5f1e40a561875e00cb31cc91/,17,https://engrxiv.org/tn6jf/,10.31224/osf.io/tn6jf,10.1016/j.proeng.2010.09.115,2020-07-28T02:52:57.910061,2020-07-28T02:53:34.167965
27f49,"DRY FILM PHOTORESIST APPLICATION TO A PRINTED CIRCUIT BOARD (PCB) USING A MASKLESS PHOTOLITHOGRAPHY METHOD","This paper offers an alternative method of making PCB routing using a negative dry film photoresist and a maskless photolithography method. The objective of this research is to determine the correct parameters for the process of making PCB design easier, cheaper and safer.
Electronic circuit design was created on a laptop or PC using Autodesk EAGLE software with a combination of result is black and blue light color. PCB routing design was inserted into a PowerPoint slide to display on a commercial Digital Light Processing (DLP) projector. No
modifications were made to a projector, which was mounted directly on a stand with a downward
facing position. The projector lamp replaced an ultraviolet or X-ray source during the exposure
process, exposing PCB coated in negative dry film photoresist. After the exposure process, the PCB was inserted into the developer solution, causing the blue light irradiated part to remain while the blackened sections dissolved. The PCB was then added to an etching solution to scrape the copper unprotected by the photoresist. The PCB was finally soaked in a remover solution to remove the photoresist. Once complete, the process generated a laptop-designed PCB routing. Electrical lines can be created using this method with a size of 100 µm and a lane edge deviation of 5 µm. The goal of research to make PCB routing cheaper, easier and safer was achieved. Evidenced by the installation of electronic components and then tested, the results are all components function well.",1,https://api.osf.io/v2/files/5f1e363f32080500ec157ab9/,20,https://engrxiv.org/27f49/,10.31224/osf.io/27f49,,2020-07-28T02:55:15.888079,2020-07-28T02:55:40.944080
w25kj,"Inverse modeling of zonal transmission network","Presently, many ideas have been proposed for constructing zonal models of the European transmission network. Most of them are based on transmission network reduction and bus clustering, which requires the ex-ante knowledge on the details (impedance, interconnections, etc.) of the network’s elements. Generally, the information is not publicly disclosed. This paper describes a method for serving the purpose, which only requires the ex-post (i.e., published) inter-zonal power flow data as input. It performs inverse modeling on the ex-post data to reveal the virtual reactance of the interconnectors in the zonal model. The reactance values are then used for computing the zonal Power Transfer Distribution Factors (PTDFs) of the model, which is the best representation of the loop flows. A large number of such zonal PTDFs could exist in one zonal model because of its dependency on the Generation Shift Keys (GSKs). Theoretically, the GSKs could exist as an infinite set of unique combinations but only a finite number of them applied in real system operations. As a solution, the authors propose a heuristic approach for grouping the ex-post power flow cases into clusters, and find the zonal PTDF for each of them; in order to effectively reduce the domain of the zonal PTDFs and enhance the tractability of the solution. The identified zonal PTDFs meaningfully represent the zonal model. Additionally, they can also be used for studying the best and worst case scenarios of cross-border security-constrained economic dispatch.",1,https://api.osf.io/v2/files/5f1c49f832080500a9159462/,30,https://engrxiv.org/w25kj/,10.31224/osf.io/w25kj,,2020-07-25T15:21:03.718632,2020-07-26T04:03:22.328236
tp2eb,"A Comparison of Execution Mechanisms: Fog and Edge Cloud Computing","Cloud computing is a technology that was developed a decade ago to provide uninterrupted, scalable services to users and organizations. Cloud computing also became an attractive feature for mobile users due to the limited features of mobile devices. The combination of cloud technologies with mobile technologies gave a new area of computing called mobile cloud computing. This combined technology is used to augment the resources existing in smart devices. In recent times Fog computing, Edge computing and Clone Cloud computing techniques have become the latest trends after mobile cloud computing, which have all been developed to address the limitations in cloud computing. This paper reviews these recent technologies in detail. This paper also addresses the differences in these technologies and how each of them are effective to organizations and developers.",1,https://api.osf.io/v2/files/5f1bc30c5fdf62009b04c781/,41,https://engrxiv.org/tp2eb/,10.31224/osf.io/tp2eb,,2020-07-25T14:57:06.650820,2020-07-25T14:57:21.816349
trs57,"Changes in Electricity Load Profiles Under COVID-19: Implications of “The New Normal” for Electricity Demand","Shelter-in-place orders and school and business closures related to COVID-19 have changed the hourly profile of electricity loads in the U.S. Such shifts have significant implications for utilities and grid operators, affecting operational efficiency as well as investment decisions. It is critical to understand if and how these changes may persist as economies gradually reopen. Using 2 years of observed electricity consumption data from more than 3.8 million residential and non-residential customers from the Commonwealth Edison utility in Illinois, we show that the onset of COVID-19 shifted weekday residential load profiles to closely resemble weekend profiles from previous years. We use this finding to estimate the potential impact of continued COVID-19-type profiles of electricity use on total load profiles. We find that long-term structural changes to the workplace like widespread teleworking could lead to 5-7% higher spring and summertime peak hourly loads occurring up to 2.5 hours earlier.",1,https://api.osf.io/v2/files/5f1b36b461875e0073316302/,19,https://engrxiv.org/trs57/,10.31224/osf.io/trs57,,2020-07-25T14:54:20.617513,2020-07-27T00:34:58.032360
grfcn,"Main Feature List as core success criteria of organizing Requirements Elicitation","Innovation process and innovation output is positively affected by adequate reference models and supporting means. For this reason, a New V-Model for Engineering Mechatronic and Smart Systems is being worked out by the Technical Committee VDI GMA 4.10 ""Interdisciplinary Product Creation"". Thus, the directive VDI 2206 ""Development methodology for mechatronic systems"" from the year 2004 (VDI 2206 2004) is being revised and adapted to the actual trend towards digital transformation of technical systems, business models and ecosystems. The core of the guideline is the V-Model describing mechatronic engineering (VDI 2206 2004). One core success criterium of organizing Requirements Elicitation is the established main feature list first published by Pahl and Beitz (Pahl et al. 1996). Based on this, a new Main Feature List enhanced for the usage in requirements elicitation of mechatronic and smart products is proposed. This Enhanced Main Feature List comprises additional requirements such as sampling rate, bus system, big data usage and fosters result quality and efficiency of requirements elicitation. This was proven and validated by applying it to Inline spectral measurement systems in the printing industry. The proposed Enhanced Main Feature List establishes new fundamentals in research and theory.",1,https://api.osf.io/v2/files/5f1a942461875e003d31eb10/,45,https://engrxiv.org/grfcn/,10.31224/osf.io/grfcn,10.17619/UNIPB/1-679,2020-07-24T13:24:25.560173,2020-07-24T13:24:50.319805
